"id","gender","age","attnpassed","state1","state2","response"
1,1,20,0,"Anxiety","Anxiety",41
1,1,20,0,"Alertness","Anxiety",92
1,1,20,0,"Amusement","Anxiety",74
1,1,20,0,"Awe","Anxiety",90
1,1,20,0,"Satisfaction","Anxiety",88
1,1,20,0,"Joy","Anxiety",93
1,1,20,0,"Gratitude","Anxiety",75
1,1,20,0,"Hope","Anxiety",94
1,1,20,0,"Love","Anxiety",98
1,1,20,0,"Pride","Anxiety",94
1,1,20,0,"Anger","Alertness",27
1,1,20,0,"Sadness","Alertness",87
1,1,20,0,"Embarrassment","Alertness",63
1,1,20,0,"Fear","Alertness",88
1,1,20,0,"Disgust","Alertness",86
1,1,20,0,"Guilt","Alertness",89
1,1,20,0,"Offense","Alertness",38
1,1,20,0,"Contempt","Alertness",76
1,1,20,0,"Anxiety","Alertness",88
1,1,20,0,"Alertness","Alertness",10
1,1,20,0,"Amusement","Alertness",91
1,1,20,0,"Awe","Alertness",27
1,1,20,0,"Satisfaction","Alertness",32
1,1,20,0,"Joy","Alertness",32
1,1,20,0,"Gratitude","Alertness",11
1,1,20,0,"Hope","Alertness",62
1,1,20,0,"Love","Alertness",69
1,1,20,0,"Pride","Alertness",84
1,1,20,0,"Anger","Amusement",78
1,1,20,0,"Sadness","Amusement",29
1,1,20,0,"Embarrassment","Amusement",45
1,1,20,0,"Fear","Amusement",64
1,1,20,0,"Disgust","Amusement",23
1,1,20,0,"Guilt","Amusement",84
1,1,20,0,"Offense","Amusement",94
1,1,20,0,"Contempt","Amusement",77
1,1,20,0,"Anxiety","Amusement",67
1,1,20,0,"Alertness","Amusement",91
1,1,20,0,"Amusement","Amusement",64
1,1,20,0,"Awe","Amusement",28
1,1,20,0,"Satisfaction","Amusement",40
1,1,20,0,"Joy","Amusement",91
1,1,20,0,"Gratitude","Amusement",84
1,1,20,0,"Hope","Amusement",85
1,1,20,0,"Love","Amusement",86
1,1,20,0,"Pride","Amusement",38
1,1,20,0,"Anger","Awe",63
1,1,20,0,"Sadness","Awe",44
1,1,20,0,"Embarrassment","Awe",80
