"id","gender","age","attnpassed","state","response"
10,2,42,1,"Joy",85
10,2,42,1,"Gratitude",77
10,2,42,1,"Hope",50
10,2,42,1,"Love",99
10,2,42,1,"Pride",69
11,2,28,0,"Anger",84
11,2,28,0,"Sadness",100
11,2,28,0,"Embarrassment",100
11,2,28,0,"Fear",100
11,2,28,0,"Disgust",85
11,2,28,0,"Guilt",31
11,2,28,0,"Offense",50
11,2,28,0,"Contempt",67
11,2,28,0,"Anxiety",100
11,2,28,0,"Alertness",34
11,2,28,0,"Amusement",68
11,2,28,0,"Awe",15
11,2,28,0,"Satisfaction",16
11,2,28,0,"Joy",16
11,2,28,0,"Gratitude",50
11,2,28,0,"Hope",15
11,2,28,0,"Love",0
11,2,28,0,"Pride",15
12,1,33,0,"Anger",36
12,1,33,0,"Sadness",47
12,1,33,0,"Embarrassment",41
12,1,33,0,"Fear",20
12,1,33,0,"Disgust",36
12,1,33,0,"Guilt",63
12,1,33,0,"Offense",11
12,1,33,0,"Contempt",20
12,1,33,0,"Anxiety",71
12,1,33,0,"Alertness",87
12,1,33,0,"Amusement",80
12,1,33,0,"Awe",59
12,1,33,0,"Satisfaction",59
12,1,33,0,"Joy",74
12,1,33,0,"Gratitude",80
12,1,33,0,"Hope",73
12,1,33,0,"Love",100
12,1,33,0,"Pride",63
13,1,25,0,"Anger",67
13,1,25,0,"Sadness",68
13,1,25,0,"Embarrassment",36
13,1,25,0,"Fear",44
13,1,25,0,"Disgust",62
13,1,25,0,"Guilt",43
13,1,25,0,"Offense",50
13,1,25,0,"Contempt",40
13,1,25,0,"Anxiety",59
13,1,25,0,"Alertness",69
13,1,25,0,"Amusement",80
13,1,25,0,"Awe",64
13,1,25,0,"Satisfaction",64
13,1,25,0,"Joy",71
13,1,25,0,"Gratitude",67
13,1,25,0,"Hope",67
13,1,25,0,"Love",48
13,1,25,0,"Pride",53
14,1,29,1,"Anger",98
14,1,29,1,"Sadness",68
14,1,29,1,"Embarrassment",42
14,1,29,1,"Fear",6
14,1,29,1,"Disgust",5
14,1,29,1,"Guilt",30
14,1,29,1,"Offense",84
14,1,29,1,"Contempt",65
14,1,29,1,"Anxiety",66
14,1,29,1,"Alertness",8
14,1,29,1,"Amusement",15
14,1,29,1,"Awe",0
14,1,29,1,"Satisfaction",0
14,1,29,1,"Joy",0
14,1,29,1,"Gratitude",32
14,1,29,1,"Hope",0
14,1,29,1,"Love",0
14,1,29,1,"Pride",0
15,2,25,1,"Anger",50
15,2,25,1,"Sadness",66
15,2,25,1,"Embarrassment",31
15,2,25,1,"Fear",50
15,2,25,1,"Disgust",50
15,2,25,1,"Guilt",50
15,2,25,1,"Offense",33
15,2,25,1,"Contempt",32
15,2,25,1,"Anxiety",66
15,2,25,1,"Alertness",84
15,2,25,1,"Amusement",66
15,2,25,1,"Awe",32
15,2,25,1,"Satisfaction",66
15,2,25,1,"Joy",68
15,2,25,1,"Gratitude",50
15,2,25,1,"Hope",50
15,2,25,1,"Love",100
15,2,25,1,"Pride",68
16,1,35,1,"Anger",89
16,1,35,1,"Sadness",86
16,1,35,1,"Embarrassment",69
16,1,35,1,"Fear",75
16,1,35,1,"Disgust",60
16,1,35,1,"Guilt",49
16,1,35,1,"Offense",48
16,1,35,1,"Contempt",33
16,1,35,1,"Anxiety",96
16,1,35,1,"Alertness",85
16,1,35,1,"Amusement",62
16,1,35,1,"Awe",24
16,1,35,1,"Satisfaction",29
16,1,35,1,"Joy",39
16,1,35,1,"Gratitude",84
16,1,35,1,"Hope",25
16,1,35,1,"Love",100
16,1,35,1,"Pride",36
17,2,32,1,"Anger",19
17,2,32,1,"Sadness",50
17,2,32,1,"Embarrassment",35
17,2,32,1,"Fear",32
17,2,32,1,"Disgust",33
17,2,32,1,"Guilt",14
17,2,32,1,"Offense",31
17,2,32,1,"Contempt",17
17,2,32,1,"Anxiety",33
17,2,32,1,"Alertness",85
17,2,32,1,"Amusement",68
17,2,32,1,"Awe",32
17,2,32,1,"Satisfaction",85
17,2,32,1,"Joy",34
17,2,32,1,"Gratitude",84
17,2,32,1,"Hope",68
17,2,32,1,"Love",86
17,2,32,1,"Pride",33
18,1,30,1,"Anger",12
18,1,30,1,"Sadness",14
18,1,30,1,"Embarrassment",6
18,1,30,1,"Fear",14
18,1,30,1,"Disgust",9
18,1,30,1,"Guilt",13
18,1,30,1,"Offense",12
18,1,30,1,"Contempt",9
18,1,30,1,"Anxiety",12
18,1,30,1,"Alertness",79
18,1,30,1,"Amusement",81
18,1,30,1,"Awe",62
18,1,30,1,"Satisfaction",86
18,1,30,1,"Joy",83
18,1,30,1,"Gratitude",77
18,1,30,1,"Hope",80
18,1,30,1,"Love",71
18,1,30,1,"Pride",77
19,1,28,0,"Anger",45
19,1,28,0,"Sadness",64
19,1,28,0,"Embarrassment",44
19,1,28,0,"Fear",62
19,1,28,0,"Disgust",57
19,1,28,0,"Guilt",58
19,1,28,0,"Offense",62
19,1,28,0,"Contempt",60
19,1,28,0,"Anxiety",62
19,1,28,0,"Alertness",68
19,1,28,0,"Amusement",62
19,1,28,0,"Awe",34
19,1,28,0,"Satisfaction",74
19,1,28,0,"Joy",40
19,1,28,0,"Gratitude",53
19,1,28,0,"Hope",59
19,1,28,0,"Love",64
19,1,28,0,"Pride",43
20,2,28,1,"Anger",50
20,2,28,1,"Sadness",30
20,2,28,1,"Embarrassment",59
20,2,28,1,"Fear",29
20,2,28,1,"Disgust",23
