"id","gender","age","attnpassed","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
11,2,28,0,100,100,100,100,100,100,100,100,100,100,0,51,100,0,0,16,55,100,100,100,100,100,100,100,100,100,100,100,60,50,0,12,83,0,63,14,89,100,100,100,100,100,100,100,100,100,76,50,0,100,100,50,50,50,100,100,100,100,100,100,91,100,100,100,0,100,0,2,0,0,63,18,100,100,100,100,100,100,100,100,100,100,64,100,0,0,0,9,6,25,88,100,76,100,100,100,100,0,100,89,100,0,11,0,0,57,24,24,100,100,100,100,100,100,100,100,100,100,100,0,0,9,0,0,14,100,100,100,100,100,100,100,100,100,100,100,50,0,0,0,0,0,50,75,100,100,100,100,100,100,75,100,100,76,0,50,15,0,60,66,100,0,100,0,100,100,79,100,92,100,100,100,86,79,100,100,64,100,100,63,12,0,100,16,0,0,53,0,0,62,100,83,86,100,64,62,100,50,76,0,59,100,0,1,0,0,60,59,86,100,100,100,100,76,100,50,63,15,50,50,0,0,0,61,0,89,84,89,100,100,100,88,100,100,0,0,6,0,0,0,0,0,34,74,100,100,100,100,100,100,100,100,0,58,100,0,0,0,0,0,100,62,100,100,100,100,100,100,100,100,0,76,10,0,0,15,0,0,0,85,100,96,92,100,100,100,100,100,0,0,62,0,0,0,0,0,32,100,62,100,100,100,100,100,100,100,67,0,100,100,0,50,100,100,0,51,81,50,100,100,100,100,89,100,16,0,0,0,15,69,50,33,0,66,32,85,84,84,50,85,100,85
12,1,33,0,50,58,35,37,50,29,35,65,14,37,29,34,26,28,11,27,30,24,69,50,30,50,56,67,70,74,36,24,37,30,24,23,32,19,35,34,74,64,50,72,67,33,70,75,34,74,19,38,35,31,10,32,22,73,36,24,35,50,67,34,65,61,57,26,29,35,19,25,31,28,26,26,50,45,37,60,50,16,39,39,27,27,26,29,21,22,17,17,27,34,68,25,29,21,67,50,77,32,70,42,22,31,21,30,17,27,24,71,38,23,37,33,62,28,50,77,26,35,27,17,23,25,24,16,16,33,45,20,22,31,61,27,61,50,23,28,36,28,26,17,28,32,33,41,77,62,24,66,67,33,74,71,50,35,37,67,24,21,22,24,18,39,64,73,68,75,66,32,75,71,27,50,37,28,32,21,25,28,27,74,78,76,72,72,73,80,64,72,73,61,50,34,32,17,70,23,35,88,74,80,35,66,81,63,85,71,70,30,35,50,23,31,30,29,37,71,83,65,35,88,78,77,81,74,79,80,40,38,50,17,17,60,33,79,77,77,74,78,78,77,84,88,37,72,73,72,76,50,83,72,78,83,72,74,85,75,72,70,78,93,40,74,70,31,67,29,50,64,64,77,80,81,81,77,78,82,82,80,77,79,24,66,50,35,76,50,27,67,79,85,79,43,82,77,75,79,55,70,83,82,69,43,77,62,50,71,71,73,26,66,68,39,74,70,33,30,27,19,25,20,14,18,38,50,64,53,59,80,64,37,89,80,29,13,20,41,41,26,20,27,0,37
13,1,25,0,50,80,71,58,67,61,67,87,67,50,21,23,15,16,11,36,14,76,61,51,75,56,65,64,63,50,81,16,23,23,19,12,10,33,53,16,62,76,50,76,76,78,56,62,81,54,12,10,17,22,18,11,46,60,63,66,80,50,73,59,61,60,93,57,15,22,14,17,10,21,12,16,68,70,82,65,51,20,71,63,62,41,38,19,17,15,22,37,17,14,64,75,76,72,13,50,65,34,76,34,23,16,13,37,14,11,13,13,81,63,63,48,74,56,50,88,50,62,31,19,44,63,16,13,14,77,88,60,63,85,75,9,88,50,58,50,38,19,22,24,24,10,13,58,72,67,86,97,64,91,51,55,50,66,13,12,12,11,15,50,13,13,60,24,58,72,48,18,60,51,59,50,26,72,40,38,39,45,26,39,14,13,13,32,14,15,58,39,23,35,53,65,62,91,36,50,52,24,10,32,14,59,15,24,15,25,39,73,57,50,63,60,64,64,65,43,7,11,15,15,23,9,12,13,11,56,76,16,51,75,76,50,75,80,40,13,20,16,13,12,9,10,12,46,80,55,57,50,65,71,77,71,14,15,17,14,12,14,24,9,15,40,43,46,61,60,50,60,83,12,26,35,12,10,13,9,64,13,23,40,50,50,57,59,63,50,61,27,29,30,12,13,15,17,17,8,35,38,30,18,67,75,61,53,50,71,37,21,22,22,13,21,14,58,15,50,26,44,50,52,50,67,66,50,33,32,64,56,38,57,50,60,41,31,20,36,36,29,33,33,52,47
14,1,29,1,100,61,24,51,61,64,91,76,64,56,4,10,12,5,5,3,6,37,3,100,65,13,59,63,50,55,76,13,4,3,5,6,2,59,38,10,37,24,100,57,14,58,25,56,77,57,7,7,7,5,2,25,7,3,24,59,60,100,77,56,39,18,85,76,4,4,5,1,4,5,24,3,63,12,38,66,100,61,64,64,60,38,3,3,7,4,1,4,38,2,64,61,64,62,25,100,65,61,62,65,25,13,56,21,37,6,58,39,76,35,37,58,88,60,100,77,25,59,24,8,3,4,1,6,14,24,87,14,37,37,78,13,65,100,50,14,5,3,16,4,3,2,11,5,24,25,89,85,56,57,36,68,100,89,8,2,3,0,8,4,24,4,37,35,65,89,64,56,52,59,90,100,3,42,3,7,12,4,10,4,2,9,25,37,25,13,0,4,5,12,100,64,63,91,65,6,60,61,10,6,7,3,0,10,5,3,10,9,50,100,58,68,59,59,63,62,4,4,11,11,7,13,10,25,7,14,58,39,100,91,69,2,87,62,3,10,5,2,6,6,11,10,12,2,90,62,75,100,97,63,76,77,12,13,16,11,4,7,9,0,25,9,65,60,77,87,100,65,76,25,8,32,9,6,3,3,7,7,25,12,37,50,64,61,55,100,64,59,7,37,5,5,4,8,4,3,3,5,39,61,76,59,77,50,100,50,2,2,3,3,1,6,3,5,4,8,35,51,78,65,59,62,66,100,2,32,58,94,95,70,16,35,34,92,85,100,100,100,68,100,100,100
15,2,25,1,100,50,36,50,76,50,88,77,50,34,8,16,4,17,3,17,6,3,64,100,50,94,51,50,50,64,93,50,15,23,1,1,36,38,12,7,50,25,100,50,38,50,50,38,24,50,0,7,13,9,6,10,0,14,50,51,76,100,25,50,50,50,95,50,5,7,3,4,3,1,1,3,50,25,50,13,100,8,51,37,7,51,25,5,14,2,6,1,11,0,50,77,50,7,51,100,33,50,50,2,7,1,50,5,5,5,4,12,88,64,15,26,60,35,100,50,76,50,10,3,11,8,2,6,9,3,82,37,50,37,66,36,50,100,65,50,1,4,9,12,3,15,15,9,77,35,75,93,33,89,50,24,100,50,7,23,0,2,4,36,1,1,95,24,68,100,50,77,50,50,50,100,11,77,9,24,13,32,9,12,3,14,50,4,23,6,0,3,2,12,100,85,77,75,50,50,76,50,4,10,10,14,0,1,1,4,25,24,95,100,76,100,88,76,96,96,5,2,0,7,0,13,4,0,2,25,90,94,100,100,94,78,98,100,11,9,5,10,4,4,0,5,3,36,100,93,97,100,100,78,100,100,4,12,17,12,3,4,6,15,15,50,38,88,77,100,100,95,100,99,28,24,23,34,0,35,2,2,24,49,12,77,50,77,98,100,100,75,5,24,1,13,0,3,1,6,16,5,59,97,95,100,100,100,100,92,2,13,6,2,3,8,6,5,12,5,50,76,94,50,76,84,96,100,50,34,69,50,50,50,67,68,34,16,34,68,34,32,50,50,0,32
16,1,35,1,100,89,87,50,99,93,100,95,62,45,12,16,1,6,7,24,25,40,84,100,70,57,54,85,59,63,71,58,9,37,4,8,26,35,25,18,79,54,99,85,64,82,68,54,62,11,7,9,21,17,7,38,33,50,84,45,63,98,62,92,26,69,100,23,6,41,0,12,7,24,10,25,95,65,53,68,95,86,77,96,24,24,5,32,9,11,1,8,3,6,65,87,73,64,65,99,53,61,96,24,36,17,2,9,23,25,15,8,85,77,67,83,77,60,99,66,86,22,12,11,8,8,4,6,5,59,87,57,51,62,95,58,85,100,62,14,7,17,3,1,0,5,0,37,65,55,100,100,54,98,77,88,100,51,5,23,2,19,5,50,7,12,87,73,94,98,87,69,76,66,100,100,96,91,68,79,76,76,66,41,17,6,24,42,24,5,29,10,7,54,92,93,65,75,64,61,56,59,22,6,3,50,4,8,7,0,24,20,51,97,54,60,47,60,84,18,8,2,1,14,0,4,3,7,9,37,76,63,97,95,98,62,76,97,3,8,6,3,5,9,7,12,0,51,76,88,98,94,83,73,87,44,25,6,8,16,0,10,7,0,15,25,74,61,77,95,100,77,77,62,9,25,10,24,1,6,3,5,25,50,59,24,88,77,90,91,86,74,5,31,22,8,0,2,6,6,3,64,57,29,79,93,87,57,98,51,43,12,13,10,3,2,80,3,17,25,45,35,98,99,60,40,54,94,11,14,31,25,40,51,52,67,4,15,38,76,71,61,16,75,0,64
17,2,32,1,100,51,53,50,74,75,50,95,60,50,1,2,0,0,0,0,1,3,8,100,67,33,50,50,86,6,59,3,0,3,0,0,2,3,0,1,50,59,100,55,51,76,30,60,84,3,1,1,1,0,0,2,1,1,31,25,74,100,18,50,11,15,96,50,1,2,1,2,1,1,0,2,74,10,87,7,100,66,50,86,49,3,1,0,0,0,1,2,0,2,28,76,50,50,50,100,14,75,46,50,2,1,1,0,1,0,1,2,23,27,4,1,29,30,100,13,23,37,1,2,1,1,1,2,1,1,97,2,44,50,50,35,29,100,35,3,1,0,1,1,1,1,0,5,63,54,88,98,65,95,60,5,100,62,2,0,0,0,1,0,1,1,92,32,98,99,62,84,50,69,99,100,26,63,68,50,22,73,76,65,1,3,0,2,2,0,1,4,0,5,100,69,78,50,67,15,34,50,1,2,1,0,1,0,0,0,1,25,62,100,43,65,50,50,67,54,10,0,2,1,0,0,0,0,0,17,79,86,100,95,97,65,80,88,0,1,1,1,3,0,0,1,0,50,50,63,78,100,81,94,92,88,0,5,4,24,3,0,0,1,1,25,6,76,77,98,100,56,64,91,1,3,12,4,2,2,4,0,3,43,13,50,68,75,75,100,87,50,0,24,0,8,2,1,0,2,0,50,14,50,56,58,88,61,100,67,0,0,0,0,0,0,2,1,0,50,22,5,91,78,88,50,75,100,81,50,65,68,67,86,69,83,67,15,32,68,15,66,16,32,14,67
18,1,30,1,100,77,74,83,77,79,76,66,73,28,25,16,24,23,24,25,25,25,79,100,77,83,79,74,27,83,91,24,27,27,30,23,25,25,24,28,80,88,100,77,78,62,75,78,76,29,27,34,29,25,40,28,74,27,77,72,73,100,76,79,71,76,74,24,19,92,29,22,23,25,24,27,73,73,73,77,100,75,62,81,72,24,30,25,29,22,26,27,30,23,76,75,96,80,78,100,78,76,83,25,31,27,27,24,25,30,26,27,78,33,27,79,19,82,100,25,24,80,77,79,25,33,28,26,67,23,77,78,75,73,84,76,72,100,73,23,23,19,38,28,26,23,26,34,77,76,77,82,76,70,68,77,100,25,33,34,21,22,24,29,25,19,19,26,26,24,22,29,62,26,18,88,76,72,76,78,84,71,82,86,25,31,27,24,24,26,37,22,23,52,100,73,73,77,77,75,75,69,28,73,66,26,24,26,18,71,19,60,28,100,73,78,76,83,77,82,30,26,28,24,24,20,76,24,25,78,80,74,100,76,100,79,79,77,21,27,36,25,32,31,30,24,24,82,78,71,75,100,76,76,75,76,22,27,27,31,19,24,78,24,25,73,77,74,77,81,100,77,76,76,29,23,27,27,25,23,79,25,26,78,77,77,74,77,77,100,78,72,24,27,71,26,24,26,35,29,28,78,76,74,75,72,75,78,100,78,28,26,25,30,22,31,39,30,26,85,75,77,75,77,77,75,70,100,88,86,94,86,91,87,88,91,88,21,19,38,14,17,23,20,29,23
19,1,28,0,56,70,74,57,62,57,63,40,38,65,60,43,63,56,12,19,87,73,42,41,76,79,48,73,69,61,62,67,35,65,11,40,41,53,61,34,40,65,59,75,38,75,63,57,62,34,27,89,9,25,56,47,33,68,67,61,68,74,62,64,59,83,71,63,58,66,64,67,23,63,63,62,59,33,86,28,61,39,36,65,78,43,70,60,78,59,32,79,60,75,27,46,81,61,65,18,63,33,35,61,31,40,78,79,8,48,76,63,67,35,85,73,38,37,80,65,60,64,62,33,55,24,85,59,37,80,56,80,27,56,63,19,64,69,69,60,19,61,74,58,58,85,60,74,30,53,39,37,60,35,18,57,32,64,67,59,77,47,80,57,58,85,90,62,69,71,67,76,38,66,82,31,81,44,67,57,36,38,14,29,66,76,32,41,64,75,42,40,87,35,70,31,32,89,60,63,61,74,56,76,19,75,74,63,43,31,67,62,33,31,65,66,65,27,60,12,21,33,58,58,76,35,60,34,67,35,69,56,54,34,71,14,38,66,59,45,16,60,78,77,41,41,23,36,60,60,41,25,24,60,62,21,63,29,59,36,67,84,34,68,81,63,50,74,30,77,70,68,85,25,25,29,69,55,62,38,75,59,74,61,58,32,76,56,53,70,57,23,66,40,76,29,62,56,88,58,41,74,66,57,68,42,57,75,83,60,44,62,67,73,74,43,57,28,60,47,29,70,57,67,34,78,41,27,55,36,56,38,43,42,38,40,38,32,38,66,26,60,47,41,36,57
20,2,28,1,100,100,24,90,91,72,100,88,82,81,13,39,42,25,14,30,17,77,78,100,63,94,75,79,68,74,82,60,31,77,58,30,59,26,72,40,76,59,100,86,76,96,33,67,80,87,76,57,29,37,6,5,31,66,84,62,86,100,87,80,100,69,89,78,16,10,74,32,23,39,59,50,73,37,77,77,100,57,88,75,64,77,41,15,35,8,12,34,31,53,88,45,82,87,73,99,77,78,67,67,74,38,58,69,67,38,42,78,98,65,62,61,87,77,100,64,63,70,10,37,29,0,16,36,4,56,80,64,50,76,70,83,87,99,64,90,25,23,7,27,25,38,63,24,92,94,86,100,78,100,82,14,100,100,39,72,26,26,41,50,30,22,99,71,85,100,68,93,93,88,89,100,74,22,64,35,63,63,68,71,35,0,39,22,57,31,42,22,27,32,100,75,90,84,79,78,91,57,37,38,6,64,40,53,2,39,43,58,68,99,91,95,97,32,100,77,33,35,35,0,21,55,30,11,35,25,98,94,100,95,97,81,100,76,11,62,33,39,10,18,8,33,28,51,95,97,98,100,82,96,100,100,23,13,9,6,3,34,5,34,7,7,38,94,100,100,100,91,93,63,34,74,14,55,23,56,16,31,28,57,82,98,93,100,90,100,91,64,37,61,26,50,32,41,36,28,29,67,69,100,100,97,100,98,100,82,77,55,67,81,36,42,34,63,45,76,61,79,89,76,44,80,91,100,50,70,41,71,77,84,67,86,50,17,15,32,0,1,66,34,1,34
21,1,29,0,51,81,85,50,50,77,50,82,43,19,32,7,85,50,34,21,27,26,63,50,83,50,50,59,50,35,24,50,24,22,27,27,41,29,58,50,50,57,50,75,100,85,58,71,50,37,57,27,70,94,76,19,41,34,82,51,50,51,50,44,44,50,80,88,33,31,59,27,36,67,21,34,50,50,50,60,52,79,91,50,78,67,23,32,35,5,84,41,28,61,65,50,84,50,79,50,71,72,66,62,66,50,39,72,29,40,37,0,82,34,64,71,56,50,50,75,67,24,81,28,50,18,63,28,28,25,85,50,10,65,44,57,31,50,35,63,20,35,50,33,18,0,30,44,83,54,69,30,62,50,66,75,50,26,36,80,34,48,25,40,86,78,77,72,60,100,82,69,72,70,94,50,50,50,65,43,50,66,46,52,80,22,71,50,81,90,76,61,30,65,50,76,50,88,50,88,72,50,59,78,88,80,64,86,15,69,75,21,73,50,78,78,79,71,77,74,88,50,60,13,59,76,78,26,60,48,73,50,59,96,27,50,68,78,77,91,67,59,74,66,75,40,71,32,89,50,78,50,100,50,83,48,0,75,42,85,68,9,77,65,25,80,52,76,90,42,50,47,40,30,40,78,50,17,75,25,75,50,64,41,77,81,76,66,63,50,70,53,33,76,50,79,76,84,18,24,48,73,70,73,50,55,70,68,50,50,74,79,72,30,50,32,83,70,83,79,64,67,68,69,90,72,35,50,50,91,73,56,50,64,70,74,55,12,15,31,28,30,16,16,0,18
22,1,29,0,69,61,55,61,75,34,15,61,50,22,17,10,14,13,0,32,21,24,58,88,79,50,59,68,38,13,61,38,33,14,25,4,14,48,15,14,15,39,82,45,41,60,42,15,28,34,24,50,36,17,18,24,46,44,39,27,38,62,17,22,22,69,75,56,38,11,11,2,27,37,26,32,70,44,59,56,71,28,41,54,32,19,25,28,17,24,19,41,5,17,19,38,44,24,26,62,23,22,60,18,23,17,24,43,47,2,40,19,23,43,32,55,62,15,51,12,36,15,34,30,38,36,36,10,16,14,86,59,64,69,74,22,47,50,40,39,17,15,19,33,22,27,14,24,60,53,93,91,40,76,9,34,85,66,22,30,10,34,9,38,50,22,55,31,45,93,36,38,18,16,76,84,15,24,24,35,43,21,11,12,10,3,56,21,16,32,23,27,13,17,50,30,27,60,24,38,13,35,26,26,34,18,19,30,24,24,22,53,33,60,39,31,44,25,50,41,22,16,27,62,28,38,36,3,41,23,37,17,89,70,74,62,73,69,22,37,14,13,23,27,12,26,33,16,20,17,94,78,34,64,75,29,18,39,39,23,19,50,27,23,39,22,42,19,54,60,78,53,56,66,17,34,40,21,20,31,32,34,19,51,38,36,22,44,34,70,60,37,27,20,39,16,13,24,10,41,35,33,29,51,65,76,66,76,76,67,15,17,26,33,42,38,41,22,31,15,20,18,66,64,35,54,59,65,43,50,60,45,50,68,68,63,19,16,46,69,35,32,46,43,5,34
23,1,30,1,60,78,79,79,78,90,96,83,77,77,25,27,24,25,50,26,23,61,83,91,77,76,77,77,77,14,25,26,26,50,33,50,10,34,27,11,24,79,92,88,75,78,50,50,35,78,24,77,28,74,63,25,63,50,80,78,50,91,79,78,77,77,88,50,74,78,25,29,25,76,24,36,77,78,72,76,90,85,87,87,50,25,78,25,14,25,24,27,5,15,79,77,90,86,77,99,44,58,81,25,24,77,25,34,6,24,41,38,78,68,75,71,75,34,93,65,26,77,25,76,76,4,25,26,25,25,25,77,76,86,77,65,34,78,75,26,24,65,8,25,26,26,25,78,77,78,79,98,63,77,31,24,89,67,25,77,63,25,16,62,77,25,77,33,50,77,24,34,50,65,63,100,79,65,78,77,78,76,50,25,66,24,61,25,25,76,77,66,26,32,98,61,77,76,92,77,78,77,25,26,60,77,76,33,27,50,25,78,77,100,76,78,78,76,25,79,33,26,25,24,23,26,79,79,25,77,78,76,90,76,25,76,87,77,21,28,23,25,3,25,25,23,77,66,78,76,95,80,97,91,100,28,67,66,24,71,76,26,25,27,25,79,77,70,78,76,77,78,97,26,50,64,26,57,26,50,25,26,66,68,76,76,28,77,87,96,94,77,24,25,12,50,6,38,25,20,77,39,77,58,93,95,98,95,96,50,24,25,38,24,25,28,25,22,39,77,69,59,75,76,76,76,65,91,71,70,80,100,72,89,76,86,90,12,17,47,23,16,15,0,16,51
24,1,40,0,100,78,63,75,95,97,75,88,83,61,5,16,14,24,5,35,8,0,78,100,76,85,83,91,77,65,90,56,13,27,25,52,61,43,66,26,61,88,100,100,93,95,61,77,94,65,71,66,24,62,64,65,57,24,90,96,82,100,73,82,65,88,98,97,75,65,43,19,8,40,67,45,91,77,58,91,100,100,78,91,76,34,42,39,14,6,23,26,11,22,96,85,62,91,95,100,79,74,93,83,68,41,32,53,23,38,56,24,76,78,76,76,71,69,100,69,64,87,55,50,51,58,56,50,42,44,80,88,75,76,76,84,61,100,73,77,27,30,42,47,36,24,37,33,76,87,93,91,99,97,63,93,100,76,62,64,21,62,75,65,42,53,81,58,76,95,67,61,74,67,78,100,90,94,88,75,65,80,76,64,25,20,61,63,37,62,53,43,42,79,100,88,95,100,78,76,90,77,67,56,62,58,55,43,70,35,76,75,92,100,82,95,95,77,100,78,34,23,10,39,25,6,43,59,38,90,81,88,100,95,91,77,92,96,25,4,58,24,10,31,53,40,66,53,94,92,95,100,97,84,96,94,27,64,58,24,18,42,56,23,64,97,78,90,97,95,100,98,95,78,25,78,56,79,24,63,47,25,94,77,75,79,91,95,75,100,94,90,11,41,69,66,12,55,52,20,79,82,87,100,100,97,92,95,100,77,25,25,45,57,11,35,44,29,54,75,75,81,95,86,95,91,97,100,50,73,77,69,67,67,68,67,30,34,59,49,32,48,53,32,16,65
25,1,25,0,97,8,63,61,97,59,98,100,57,53,10,8,13,11,11,7,7,38,91,98,99,12,77,96,50,61,94,6,8,20,16,15,11,5,12,17,60,76,96,56,56,62,24,45,72,27,12,16,4,7,14,18,6,10,63,63,76,96,44,16,83,70,100,95,12,58,27,10,11,18,6,17,93,61,22,56,98,12,94,96,65,33,11,13,12,10,7,19,9,16,59,84,41,25,30,94,44,11,25,21,19,12,23,9,5,13,7,9,98,59,35,75,96,15,96,70,62,65,22,9,8,5,5,14,8,30,99,56,17,64,97,23,91,96,54,49,4,7,7,15,6,11,4,10,80,92,99,92,18,97,85,92,97,74,5,56,13,6,7,8,60,8,64,42,69,97,54,7,67,36,71,94,40,87,5,43,16,26,5,21,12,19,3,10,9,11,10,10,17,38,91,34,89,97,77,59,81,58,14,15,10,47,21,3,26,13,25,60,59,95,50,63,11,50,58,36,4,15,9,4,12,14,12,8,5,44,99,85,95,96,97,94,100,88,5,5,14,14,5,10,12,12,22,54,100,81,100,97,88,88,99,65,7,18,10,7,22,9,10,2,12,52,69,64,100,87,94,66,82,88,15,23,4,9,16,8,16,6,9,29,86,66,76,91,80,97,94,82,3,6,11,20,0,11,4,19,15,6,96,56,82,91,70,94,97,65,7,12,7,16,33,14,66,19,19,36,67,33,100,86,88,99,78,98,67,78,64,67,50,70,99,72,65,17,33,90,32,44,59,44,15,58
26,2,42,1,100,51,92,76,93,61,100,100,51,24,0,10,10,0,0,6,0,0,97,100,57,24,57,62,11,69,64,5,0,11,0,10,55,0,0,0,88,75,100,64,65,76,64,86,100,50,37,0,10,0,0,0,4,0,61,64,73,100,61,66,58,51,58,100,24,36,0,5,0,69,12,24,76,63,36,76,100,81,85,76,83,50,0,36,0,0,0,0,0,61,76,57,24,63,57,100,63,36,72,50,25,0,7,3,37,12,12,10,100,51,64,76,92,0,100,100,93,55,3,0,7,0,0,0,0,0,100,76,50,71,100,69,100,100,64,51,25,0,0,0,0,0,0,10,63,51,100,100,75,100,64,72,100,50,37,24,11,36,45,45,63,11,56,25,88,81,33,51,59,64,64,100,79,96,76,76,62,76,85,89,11,0,11,4,0,0,0,0,0,61,100,94,63,50,51,51,89,38,11,4,0,54,37,0,0,13,3,50,63,100,63,63,63,64,56,76,0,0,0,0,0,0,0,0,0,50,39,55,100,96,100,92,100,100,0,24,0,0,0,0,0,0,0,52,83,76,97,100,88,66,100,100,0,12,0,0,0,36,5,0,0,49,59,52,64,65,100,38,94,100,0,0,35,0,0,0,0,0,36,76,25,65,4,66,46,100,51,50,0,25,47,7,0,37,0,0,0,50,74,94,50,91,84,88,100,88,0,0,0,0,0,0,0,0,0,36,57,85,50,51,62,24,51,100,68,67,84,50,68,85,67,85,31,16,33,34,50,32,33,33,0,15
27,1,35,0,100,79,99,90,83,75,95,88,92,66,52,54,15,30,11,5,86,83,79,95,91,90,68,77,84,55,95,44,56,19,12,9,53,4,46,27,94,80,99,91,77,85,87,14,85,41,55,26,19,58,13,54,83,57,93,76,93,99,84,97,92,56,98,88,45,25,55,53,28,36,65,23,73,56,64,85,100,75,77,77,86,52,43,17,18,15,3,28,85,64,86,76,59,87,57,100,63,66,86,34,57,13,83,54,44,16,52,61,94,65,99,78,94,94,99,81,91,87,29,24,18,22,25,12,70,85,88,55,10,54,84,96,58,98,80,16,23,3,29,20,6,33,67,80,95,87,59,96,89,99,94,80,100,89,65,8,5,18,7,17,52,40,88,83,78,97,81,58,91,71,70,99,82,88,60,81,64,58,67,65,37,14,52,53,53,56,53,5,56,77,99,71,77,94,82,77,91,66,8,28,23,6,7,8,38,10,69,88,92,100,91,74,95,83,99,38,38,6,54,37,26,24,7,6,7,53,64,94,98,99,95,83,98,90,34,19,23,56,17,18,11,28,29,88,95,95,100,99,95,98,53,96,13,24,79,35,5,29,54,35,7,55,91,98,98,95,99,99,89,62,47,48,57,61,19,54,16,2,43,68,88,91,89,86,78,99,73,68,98,32,65,51,39,77,44,53,66,70,96,99,88,83,97,85,100,78,88,9,52,19,6,31,36,63,58,85,64,74,90,82,80,63,88,98,37,35,36,24,43,28,31,81,19,7,14,8,11,16,11,20,2,61
28,2,31,1,100,50,74,85,86,50,100,100,77,50,9,0,0,0,0,50,24,0,88,100,100,76,76,77,76,76,100,25,0,0,0,0,0,76,25,0,50,60,100,63,76,76,77,63,100,24,0,26,25,24,25,0,12,0,67,65,66,100,75,65,64,43,91,50,0,0,0,0,0,0,0,0,76,50,75,86,100,65,100,100,51,50,0,0,0,0,0,25,24,0,76,88,75,68,50,100,77,50,92,50,51,0,0,0,25,24,25,42,75,50,40,63,75,66,100,90,36,50,0,0,0,0,0,13,0,0,90,77,50,89,100,89,100,100,61,50,0,0,0,0,0,0,24,0,76,76,100,100,64,89,93,76,100,50,24,0,0,10,0,0,39,0,50,50,50,50,50,50,50,50,50,100,50,77,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,50,100,50,50,74,39,50,49,50,0,0,0,24,0,0,0,0,0,50,50,100,66,73,76,88,77,50,0,0,0,0,0,0,0,0,24,50,50,76,100,50,88,62,77,51,0,12,25,0,0,0,0,0,25,50,88,75,89,100,76,90,89,86,0,0,0,0,0,50,0,0,0,50,50,75,76,76,100,76,77,50,0,24,0,0,0,25,0,0,35,50,50,75,78,91,89,100,88,91,0,23,25,25,0,0,0,0,0,49,50,76,64,79,75,75,100,50,0,0,0,0,0,50,0,0,24,50,50,51,92,60,65,66,76,100,33,31,52,68,33,50,32,50,32,16,17,50,31,16,34,36,15,50
